PDSCH SINR (dB),CCE_Actual,CCE_Estimate
-8,8,7.8151
-7,,7.4454
-6,,7.0861
-5,,6.7372
-4,,6.3987
-3,5.706,6.0706
-2,5.190238095,5.7529
-1,5.41921875,5.4456
0,4.822580645,5.1487
1,5.239795918,4.8622
2,5.468051948,4.5861
3,4.331060606,4.3204
4,4.023956044,4.0651
5,3.4225,3.8202
6,3.418584906,3.5857
7,3.258761062,3.3616
8,4.112358491,3.1479
9,3.626322581,2.9446
10,2.639009009,2.7517
11,2.479823009,2.5692
12,2.109661017,2.3971
13,1.797833333,2.2354
14,2.080555556,2.0841
15,1.726666667,1.9432
16,1.844444444,1.8127
17,2.0475,1.6926
18,,1.5829
19,1,1.4836
20,1.333333333,1.3947
21,1,1.3162
22,1.338333333,1.2481
23,,1.1904
24,1,1.1431
25,1,1.1062
26,1,1.0797
27,1.54,1.0636
28,,1.0579
29,,1.0626
30,,1.0777
