ID,Lat_utm,Lon_utm,Lat_deg,Lon_deg,SS-RSRP,SS-SINR,SS-RSRQ,SecArea_UEAllowed,UE_Loc
1,362360.6275,10170180.24,1.539309037,103.7627228,-139.9142827,,,,
2,362370.6275,10170180.24,1.539309089,103.7628127,-139.7583269,,,,
3,362380.6275,10170180.24,1.539309141,103.7629026,-139.5051038,,,,
4,362390.6275,10170180.24,1.539309194,103.7629925,-139.4546691,,,,
5,362400.6275,10170180.24,1.539309246,103.7630824,-139.4471013,,,,
6,362410.6275,10170180.24,1.539309299,103.7631722,-139.4925035,,,,
7,362420.6275,10170180.24,1.539309351,103.7632621,-139.5310043,,,,
8,362430.6275,10170180.24,1.539309404,103.763352,-139.6727591,,,,
9,362440.6275,10170180.24,1.539309456,103.7634419,-139.8479525,,,,
10,362330.6275,10170170.24,1.539218428,103.7624533,-139.8426505,,,,
11,362340.6275,10170170.24,1.53921848,103.7625431,-139.3190718,,,,
12,362350.6275,10170170.24,1.539218533,103.762633,-139.087882,,,,
13,362360.6275,10170170.24,1.539218585,103.7627229,-138.8890718,,,,
14,362370.6275,10170170.24,1.539218638,103.7628128,-138.5626505,,,,
15,362380.6275,10170170.24,1.53921869,103.7629027,-138.4786468,,,,
16,362390.6275,10170170.24,1.539218743,103.7629925,-138.4271087,,,,
17,362400.6275,10170170.24,1.539218795,103.7630824,-138.4181049,,,,
18,362410.6275,10170170.24,1.539218848,103.7631723,-138.3917255,,,,
19,362420.6275,10170170.24,1.5392189,103.7632622,-138.498084,,,,
20,362430.6275,10170170.24,1.539218953,103.763352,-138.6373184,,,,
21,362440.6275,10170170.24,1.539219005,103.7634419,-138.8095937,,,,
22,362450.6275,10170170.24,1.539219057,103.7635318,-139.0351038,,,,
23,362460.6275,10170170.24,1.53921911,103.7636217,-139.2740739,,,,
24,362470.6275,10170170.24,1.539219162,103.7637116,-139.5467626,,,,
25,362480.6275,10170170.24,1.539219215,103.7638014,-139.8334646,,,,
26,362300.6275,10170160.24,1.539127819,103.7621837,-139.9048712,,,,
27,362310.6275,10170160.24,1.539127872,103.7622736,-139.5150739,,,,
28,362320.6275,10170160.24,1.539127924,103.7623634,-139.1675291,,,,
29,362330.6275,10170160.24,1.539127977,103.7624533,-138.8521796,,,,
30,362340.6275,10170160.24,1.539128029,103.7625432,-138.3289856,,,,
31,362350.6275,10170160.24,1.539128082,103.7626331,-138.0979235,,,,
32,362360.6275,10170160.24,1.539128134,103.762723,-137.8989856,,,,
33,362370.6275,10170160.24,1.539128187,103.7628128,-137.5721796,,,,
34,362380.6275,10170160.24,1.539128239,103.7629027,-137.4875291,,,,
35,362390.6275,10170160.24,1.539128291,103.7629926,-137.4350739,,,,
36,362400.6275,10170160.24,1.539128344,103.7630825,-137.4248712,,,,
37,362410.6275,10170160.24,1.539128396,103.7631723,-137.3969969,,,,
38,362420.6275,10170160.24,1.539128449,103.7632622,-137.5015471,,,,
39,362430.6275,10170160.24,1.539128501,103.7633521,-137.6386404,,,,
40,362440.6275,10170160.24,1.539128554,103.763442,-137.8084202,,,,
41,362450.6275,10170160.24,1.539128606,103.7635319,-138.0310565,,,,
42,362460.6275,10170160.24,1.539128659,103.7636217,-138.2667494,,,,
43,362470.6275,10170160.24,1.539128711,103.7637116,-138.5357311,,,,
44,362480.6275,10170160.24,1.539128763,103.7638015,-138.8182692,,,,
45,362490.6275,10170160.24,1.539128816,103.7638914,-139.1246691,,,,
46,362500.6275,10170160.24,1.539128868,103.7639813,-139.4452771,,,,
47,362510.6275,10170160.24,1.539128921,103.7640711,-139.7904827,,,,
48,362290.6275,10170150.24,1.539037315,103.7620939,-139.2753892,,,,
49,362300.6275,10170150.24,1.539037368,103.7621837,-138.8444527,,,,
50,362310.6275,10170150.24,1.53903742,103.7622736,-138.1556009,,,,
51,362320.6275,10170150.24,1.539037473,103.7623635,-137.8087742,,,,
52,362330.6275,10170150.24,1.539037525,103.7624534,-137.4939283,,,,
53,362340.6275,10170150.24,1.539037578,103.7625432,-136.9710326,,,,
54,362350.6275,10170150.24,1.53903763,103.7626331,-136.7400694,,,,
55,362360.6275,10170150.24,1.539037683,103.762723,-136.5410326,,,,
56,362370.6275,10170150.24,1.539037735,103.7628129,-136.2139283,,,,
57,362380.6275,10170150.24,1.539037788,103.7629028,-136.1287742,,,,
58,362390.6275,10170150.24,1.53903784,103.7629926,-136.0756009,,,,
59,362400.6275,10170150.24,1.539037893,103.7630825,-135.9844527,,,,
60,362410.6275,10170150.24,1.539037945,103.7631724,-136.0353892,,,,
61,362420.6275,10170150.24,1.539037998,103.7632623,-136.5384875,,,,
62,362430.6275,10170150.24,1.53903805,103.7633522,-136.6538441,,,,
63,362440.6275,10170150.24,1.539038102,103.763442,-136.8415778,,,,
64,362450.6275,10170150.24,1.539038155,103.7635319,-137.0618324,,,,
65,362460.6275,10170150.24,1.539038207,103.7636218,-137.2947797,,,,
66,362470.6275,10170150.24,1.53903826,103.7637117,-137.5606223,,,,
67,362480.6275,10170150.24,1.539038312,103.7638015,-137.8395974,,,,
68,362490.6275,10170150.24,1.539038365,103.7638914,-138.1419796,,,,
69,362500.6275,10170150.24,1.539038417,103.7639813,-138.458084,,,,
70,362510.6275,10170150.24,1.539038469,103.7640712,-138.7982692,,,,
71,362520.6275,10170150.24,1.539038522,103.7641611,-139.1429404,,,,
72,362530.6275,10170150.24,1.539038574,103.7642509,-139.532552,,,,
73,362540.6275,10170150.24,1.539038627,103.7643408,-139.9576102,,,,
74,362270.6275,10170140.24,1.538946759,103.7619141,-139.650059,,,,
75,362280.6275,10170140.24,1.538946812,103.762004,-138.8060078,,,,
76,362290.6275,10170140.24,1.538946864,103.7620939,-138.343981,,,,
77,362300.6275,10170140.24,1.538946917,103.7621838,-137.9139066,,,,
78,362310.6275,10170140.24,1.538946969,103.7622737,-137.2257294,,,,
79,362320.6275,10170140.24,1.538947022,103.7623635,-136.8794079,,,,
80,362330.6275,10170140.24,1.538947074,103.7624534,-136.5649123,,,,
81,362340.6275,10170140.24,1.538947127,103.7625433,-136.0422225,,,,
82,362350.6275,10170140.24,1.538947179,103.7626332,-135.8113271,,,,
83,362360.6275,10170140.24,1.538947232,103.7627231,-135.6122225,,,,
84,362370.6275,10170140.24,1.538947284,103.7628129,-135.2849123,,,,
85,362380.6275,10170140.24,1.538947336,103.7629028,-135.1994079,,,,
86,362390.6275,10170140.24,1.538947389,103.7629927,-135.1457294,,,,
87,362400.6275,10170140.24,1.538947441,103.7630826,-135.0539066,,,,
88,362410.6275,10170140.24,1.538947494,103.7631724,-135.103981,,,,
89,362420.6275,10170140.24,1.538947546,103.7632623,-135.2060078,,,,
90,362430.6275,10170140.24,1.538947599,103.7633522,-135.320059,,,,
91,362440.6275,10170140.24,1.538947651,103.7634421,-135.5062259,,,,
92,362450.6275,10170140.24,1.538947704,103.763532,-135.7246226,,,,
93,362460.6275,10170140.24,1.538947756,103.7636218,-135.9653892,,,,
94,362470.6275,10170140.24,1.538947808,103.7637117,-136.6186956,,,,
95,362480.6275,10170140.24,1.538947861,103.7638016,-136.8947449,,,,
96,362490.6275,10170140.24,1.538947913,103.7638915,-137.1937772,,,,
97,362500.6275,10170140.24,1.538947966,103.7639814,-137.496073,,,,
98,362510.6275,10170140.24,1.538948018,103.7640712,-137.8219567,,,,
99,362520.6275,10170140.24,1.538948071,103.7641611,-138.1817998,,,,
