,index,ID,Lat_utm,Lon_utm,Lat_deg,Lon_deg,SS-RSRP,SS-SINR,SS-RSRQ,SecArea_UEAllowed,UE_Loc,Sec_UE_Count,PDSCH-RE/Frame/Sec,PDSCH-RE/Frame/UE,SS-SINR_Cat,Estimated SE (bps/Hz),FR1_30_100,UE_Tput_Mbps,UE_Tput_woVonr_Mbps,UE_Tput_LowDemand_Mbps,UE_Tput_HighDemand_Mbps
0,296,297,362290.6275,10170080.24,1.538404157,103.7620942,-133.5471706,-9.506666667,-24.9,1.0,YES,11,498595.14,45326.83090909091,-10.0,0.1608,0.780916543948052,0.780916543948052,0.652916543948052,0.13058330878961041,0.5223332351584417
1,2530,2531,362410.6275,10169780.24,1.535691248,103.7631743,-97.84717491,16.68338983,-10.37118644,1.0,YES,11,498595.14,45326.83090909091,16.0,8.712,42.309359022857144,42.309359022857144,42.181359022857144,8.43627180457143,33.74508721828572
2,1425,1426,362470.6275,10169910.24,1.536867429,103.7637129,-117.4065187,5.347071429,-11.708,1.0,YES,11,498595.14,45326.83090909091,5.0,2.5905,12.580623800357143,12.580623800357143,12.452623800357143,2.4905247600714286,9.962099040285715
3,1262,1263,362500.6275,10169930.24,1.537048489,103.7639824,-120.7430674,2.396956522,-12.78099379,1.0,YES,11,498595.14,45326.83090909091,2.0,2.1978,10.673497389857143,10.673497389857143,10.545497389857143,2.1090994779714287,8.436397911885715
4,1174,1175,362440.6275,10169940.24,1.537138626,103.7634431,-118.5635573,4.332408759,-12.05970803,1.0,YES,11,498595.14,45326.83090909091,4.0,2.4348,11.824475131870129,11.824475131870129,11.696475131870129,2.339295026374026,9.357180105496104
5,2216,2217,362680.6275,10169820.24,1.536054465,103.7656008,-133.1573129,-9.506666667,-24.9,1.0,YES,11,498595.14,45326.83090909091,-10.0,0.1608,0.780916543948052,0.780916543948052,0.652916543948052,0.13058330878961041,0.5223332351584417
6,938,939,362450.6275,10169970.24,1.537410032,103.7635328,-121.6982695,1.436891192,-13.18259067,1.0,YES,11,498595.14,45326.83090909091,1.0,2.0985,10.191252285292208,10.191252285292208,10.063252285292208,2.0126504570584416,8.050601828233766
7,634,635,362240.6275,10170010.24,1.537770736,103.7616452,-134.1646734,-10.455,-25.435,1.0,YES,11,498595.14,45326.83090909091,-11.0,,,,,,
8,395,396,362380.6275,10170060.24,1.538223726,103.7629032,-128.3365427,-5.563255814,-17.59395349,1.0,YES,11,498595.14,45326.83090909091,-6.0,0.9218,4.476672078428571,4.476672078428571,4.348672078428571,0.8697344156857142,3.4789376627428568
9,307,308,362400.6275,10170080.24,1.538404734,103.7630829,-129.8639467,-6.470909091,-18.3875,1.0,YES,11,498595.14,45326.83090909091,-7.0,0.5769,2.801683794798701,2.801683794798701,2.673683794798701,0.5347367589597403,2.138947035838961
10,1110,1111,362600.6275,10169950.24,1.537229915,103.7648811,-127.6670062,-4.3354,-16.5943,1.0,YES,11,498595.14,45326.83090909091,-5.0,1.2045,5.849589410357142,5.849589410357142,5.721589410357142,1.1443178820714284,4.5772715282857135
11,5762,5763,362380.6275,10169350.24,1.531801687,103.7629069,-132.5094986,-9.006666667,-21.80666667,2.0,YES,14,498595.14,35613.938571428575,-10.0,0.1608,0.780916543948052,0.780916543948052,0.652916543948052,0.13058330878961041,0.5223332351584417
12,3738,3739,362530.6275,10169640.24,1.534425558,103.7642536,-114.733695,7.786513761,-11.11,2.0,YES,14,498595.14,35613.938571428575,7.0,3.0213,14.67278080988961,14.67278080988961,14.54478080988961,2.9089561619779225,11.63582464791169
13,5705,5706,362570.6275,10169370.24,1.531983581,103.7646145,-133.9328994,-9.506666667,-24.9,2.0,YES,14,498595.14,35613.938571428575,-10.0,0.1608,0.780916543948052,0.780916543948052,0.652916543948052,0.13058330878961041,0.5223332351584417
14,5617,5618,362510.6275,10169390.24,1.532164171,103.7640751,-129.7824278,-6.470909091,-18.3875,2.0,YES,14,498595.14,35613.938571428575,-7.0,0.5769,2.801683794798701,2.801683794798701,2.673683794798701,0.5347367589597403,2.138947035838961
15,5562,5563,362390.6275,10169400.24,1.532253996,103.7629965,-128.1273155,-5.563255814,-17.59395349,2.0,YES,14,498595.14,35613.938571428575,-6.0,0.9218,4.476672078428571,4.476672078428571,4.348672078428571,0.8697344156857142,3.4789376627428568
16,4685,4686,362350.6275,10169530.24,1.533429653,103.7626364,-117.1455424,5.347071429,-11.708,2.0,YES,14,498595.14,35613.938571428575,5.0,2.5905,12.580623800357143,12.580623800357143,12.452623800357143,2.4905247600714286,9.962099040285715
